Step Num,Acheived Avg Vin,pk-pk ripple Vin,Avg Iin,pk-pk ripple Iin,power_mosfet_losses,power_diode_losses,aux_mosfet_losses,aux_diode_losses,Pin,Pout,Eff,SWFREQ,DEADTIME,Lr,Cr,Ii,target_vin,solar_voc,Vout,Illum
1,70.0886635802038,0.393936157226562,4.83407407952378,0.0592198371887207,0.938408575763838,2.50128920657912,0.363300942960763,0.487621756047598,338.811090930387,333.958772876375,0.985678396652577,80k,20n,10u,0.5n,5,70,80,90,900
2,59.9511222117374,0.490253448486328,5.02908815746423,0.0574889183044434,0.970088535909688,2.30348307735836,0.337309002516277,0.38170179730409,301.496008560787,296.795937021013,0.984410833290264,80k,20n,10u,0.5n,5,60,70,90,900
3,49.8839111768378,0.526073455810547,5.19008462262587,0.0436305999755859,1.00269568033275,2.04816710890081,0.325728767631579,0.270068055110106,258.898762035392,254.820651079454,0.984248240803173,80k,20n,10u,0.5n,5,50,60,90,900
4,39.7649555686526,0.515003204345703,5.31770864422709,0.024688720703125,1.03627779019612,1.66384249370761,0.334277750316121,0.250936158525185,211.456787626528,208.102753232293,0.984138440615301,80k,20n,10u,0.5n,5,40,50,90,900
5,29.6877439722475,0.472272872924805,5.3965354653848,0.00977039337158203,1.06564809459376,1.23868780669186,0.327288465677653,0.234791210364068,160.210406526839,157.812555806553,0.985033115062447,80k,20n,10u,0.5n,5,30,40,90,900
6,69.7192747017147,0.510704040527344,4.88656210307447,0.0702314376831055,1.11590666534629,2.28790078224413,0.388749412811024,0.435788720928806,340.683079917861,335.766757192909,0.985569219562836,80k,20n,10u,0.5n,5,70,80,100,900
7,59.6719904401996,0.573970794677734,5.06018951416296,0.0620708465576172,1.14417589523877,2.1127630552502,0.353367884853617,0.318547961260651,301.9470601769,297.462066871984,0.985146424998183,80k,20n,10u,0.5n,5,60,70,100,900
8,49.6199416658828,0.583572387695312,5.2109132166979,0.0442113876342773,1.17536407434833,1.84195616704383,0.349873336175996,0.25298808466748,258.56186276413,254.746412605608,0.985243569497323,80k,20n,10u,0.5n,5,50,60,100,900
9,39.5521265785858,0.546184539794922,5.32750145884109,0.0239729881286621,1.20414276809825,1.49225509535857,0.341443410653764,0.248727552806146,210.712283681358,207.647087328436,0.985453167231781,80k,20n,10u,0.5n,5,40,50,100,900
10,29.5255282090645,0.493064880371094,5.39979661709879,0.0093998908996582,1.23095290651805,1.10975358406209,0.35596526140232,0.222572277522359,159.4312966126,157.3717575973,0.987081965341442,80k,20n,10u,0.5n,5,30,40,100,900
11,69.1488557719996,0.682952880859375,4.9589278545282,0.0815119743347168,1.48082714571088,1.95794666257381,0.43685422667647,0.37430083858448,342.896900935222,338.231367043225,0.986393770607806,80k,20n,10u,0.5n,5,70,80,120,900
12,59.2174408847284,0.693874359130859,5.10590179935346,0.0657529830932617,1.51446179611417,1.80616435058384,0.391376738050896,0.262513722816184,302.352467244919,298.272057020563,0.986504458648752,80k,20n,10u,0.5n,5,60,70,120,900
